标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签,城市
天元城 中间好楼层 3室2厅1卫 294万 102平,294,28892元/㎡,天元城,江宁,3,101.76㎡,南北,2008年建造,"['南北', '满二年', '近地铁', '绿化率高']",南京
燕子矶 山水苑 2房 地铁6号线 万寿 晓庄,125,17858元/㎡,燕江新城山水苑,栖霞,2,70㎡,南,2000年建造,"['南', '有电梯']",南京
真 迈皋桥晓庄1号线地铁口 双南电梯房 位置好 诚心出售 急,130,18572元/㎡,燕江新城山水苑,栖霞,2,70㎡,南北,2018年建造,"['南北', '有电梯']",南京
价格可谈 地铁口 天润城7街区 精装2房 南北通透 超低总价,128,13914元/㎡,天润城第七街区,浦口,2,92㎡,南北,2008年建造,"['热门小区', '近地铁', '南北通透']",南京
精装修 南北通透 3室2厅 88平 电梯房 楼层好 视野无遮,157,17841元/㎡,金地自在城(一期),雨花台,3,88㎡,南北,2014年建造,"['南北', '满二年']",南京
急售 紫金南苑 精装修 南北通透 满五 3室2厅 楼层好,470,39831元/㎡,紫金南苑,玄武,3,118㎡,南北,2005年建造,"['南北', '满五年', '近地铁']",南京
网红街区 地铁口 通透户型 业主看中新房 急售 看房方便,455,51401元/㎡,招商雍和府,建邺,3,88.52㎡,南北,2000年建造,"['南北', '满二年', '近地铁', '次新房']",南京
燕升园1园 电梯房 简单装修 66平 采光好 周边商圈成熟,135,20455元/㎡,燕升园1园,栖霞,2,66㎡,南,2015年建造,"['南', '有电梯']",南京
电梯房 2室1厅 南北通透 亲水湾花园 精装修 采光好 周边,320,31994元/㎡,亲水湾花园,江宁,2,100.02㎡,南北,2016年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
新上房源 南湾营煦康苑 电梯两房 居家装修,125,19602元/㎡,南湾营煦康苑,栖霞,2,63.77㎡,南北,2009年建造,['南北'],南京
房源采光好，南北通透，业主诚意出,137,15394元/㎡,荣盛花语城(四期),六合,3,89㎡,南北,2020年建造,"['南北', '满二年', '车位充足']",南京
云南路 邻近地铁 闹中取静 配套齐全 西桥 随时可看 大胆来,320,44157元/㎡,云南路48-1号小区,鼓楼,3,72.47㎡,南北,1985年建造,"['南北', '满五年', '近地铁']",南京
新街口 石鼓路2楼 三室二厅 南北通透 全明豪华 婚装有钥匙,278,38083元/㎡,石鼓路小区,秦淮,3,73㎡,南北,1990年建造,"['南北', '满五年', '近地铁']",南京
房源采光好，南北通透，业主诚意出,375,30242元/㎡,中铁青秀城,栖霞,3,124㎡,南,2016年建造,"['南', '满二年']",南京
南部新城 秦虹小区 康安里 欧装3室 业主诚售,245,27314元/㎡,康安里住宅区,秦淮,3,89.7㎡,南,2000年建造,"['南', '满五年', '多人关注']",南京
4房2卫 次新房未住 地暖中央空调 青秀城 6号7号双地铁口,480,33803元/㎡,中铁青秀城,栖霞,4,142㎡,南北,2019年建造,"['南北', '近地铁', '稀缺户型', '随时可看']",南京
五塘广场 江雁依山郡 架空一楼带平台院子 南北通透 毛坯,310,38329元/㎡,江雁依山郡,鼓楼,3,80.88㎡,南北,2011年建造,"['南北', '满五年', '近地铁']",南京
新上旭日景城 精装三房 不临街 满五年有钥匙 五塘双地铁,450,37191元/㎡,旭日景城,鼓楼,3,121㎡,南北,2006年建造,"['南北', '近地铁', '绿化率高']",南京
南北通透 2室2厅 金基翠城 精装修,373,40216元/㎡,金基翠城,鼓楼,2,92.75㎡,南北,2006年建造,"['南北', '近地铁', '绿化率高']",南京
87平 电梯房 满五 朝南 3室1厅 诚心出售 价格可议,180,20690元/㎡,燕歌园,栖霞,3,87㎡,南,2013年建造,"['南', '满五年']",南京
百家湖21世纪国际公寓大B户型，业主诚售，看房随时，楼层也好,289,31938元/㎡,21世纪国际公寓(西区56-68),江宁,2,90.49㎡,南,2011年建造,"['南', '满二年', '近地铁']",南京
3室1厅 电梯房 燕江新城山水苑 南北通透 楼层好 视野好,130,18572元/㎡,燕江新城山水苑,栖霞,2,70㎡,南,2016年建造,"['南', '热门小区', '近地铁', '配套成熟']",南京
仙林 金鹰旁 南外 南师附小 采光很好 有钥匙 欢迎实地看房,305,33539元/㎡,赛世香樟园,栖霞,2,90.94㎡,南,2007年建造,"['南', '满二年', '近地铁']",南京
简单装修 满五 朝南 77平 2室2厅 楼层好 视野无遮挡,143,18486元/㎡,燕舞园,栖霞,2,77.36㎡,南,2013年建造,"['南', '满五年']",南京
紫元府三房，高楼层，地铁口，随时看,370,35715元/㎡,紫元府,江宁,3,103.6㎡,南北,2019年建造,"['南北', '满二年', '近地铁', '次新房']",南京
南部新城 保利堂悦 三房精装修 业主急卖,480,48102元/㎡,保利堂悦,秦淮,3,99.79㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '次新房']",南京
南北通透 2室1厅 金陵新四村 精装修,132,20953元/㎡,金陵新四村,鼓楼,2,63㎡,南北,2000年建造,"['南北通透', '满五', '房东急售']",南京
电梯房 朝南 满五 77平 采光好 周边商圈成熟,155,20052元/㎡,燕舞园,栖霞,2,77.3㎡,南,2013年建造,"['南', '满五年']",南京
精装修 满五 住房 天润城第六街区 南北通透 房东急置换,145,13182元/㎡,天润城第六街区,浦口,3,110㎡,南北,2010年建造,"['南北', '满五年', '近地铁', '车位充足']",南京
价能谈 金域中央 婚装两房 楼层好 满五年 南师附中 地铁口,283,32907元/㎡,金域中央街区1,鼓楼,2,86㎡,南北,2009年建造,"['南北', '满五年', '近地铁', '多人关注']",南京
新上 急急 万达西地 全新精装2房 全明户型 采光视野好 地,390,48036元/㎡,万达西地,建邺,2,81.19㎡,南北,2010年建造,"['南北', '满二年', '近地铁']",南京
"急需用钱,便宜出售多层[17层]毛坯西",494,69627元/㎡,恒盛金陵湾,鼓楼,1,70.95㎡,西,2018年建造,"['西', '满二年', '次新房']",南京
富力尚悦居 现房！金陵中小 河西南 吾悦旁 抢！业主急售 快,198,19603元/㎡,富力尚悦居(一期),雨花台,3,101.01㎡,南北,2021年建造,"['南北', '热门小区', '配套成熟', '价格优惠']",南京
燕子矶新城 电梯两房 性价比高 看房有钥匙,133,19000元/㎡,燕江新城山水苑,栖霞,2,70㎡,南,2000年建造,['南'],南京
满五 天润城12街区 2室2厅 128万元 中装,128,18097元/㎡,天润城第十二街区,浦口,2,70.73㎡,南,2012年建造,"['南', '满五年', '近地铁']",南京
九中 精装1楼正规三室 拎包入住 院子带阳光房 随时可看有钥,265,40465元/㎡,如意里小区,玄武,3,65.49㎡,南北,1990年建造,"['南北', '满五年', '近地铁', '多人关注']",南京
房源采光好，南北通透，业主诚意出,330,53738元/㎡,王府园小区,秦淮,2,61.41㎡,南北,1988年建造,"['南北', '满五年', '近地铁']",南京
满五 南北通透 3室2厅 鑫园凯旋城 精装修,390,40099元/㎡,鑫园凯旋城,秦淮,3,97.26㎡,南北,1998年建造,"['南北', '满五年', '绿化率高']",南京
钟山花园城三室二厅 采光好 全明通透 居家装修,499,45919元/㎡,钟山花园城博雅居,玄武,3,108.67㎡,南北,2003年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
河西奥东地铁口莲花北苑小高层得房率超高性价比超高大三房可大刀,225,25281元/㎡,莲花新城北苑,建邺,3,89㎡,南北,2010年建造,"['南北', '满二年', '近地铁']",南京
紫金山脚下 墨香山庄 电梯房 业主 设施看房方便,258,28117元/㎡,墨香山庄,玄武,3,91.76㎡,南,2011年建造,"['南', '满二年', '绿化率高']",南京
地铁口1号线 三山街 来凤小区 仓顶小2房 低总价 低楼层,162,32400元/㎡,来凤小区(仓顶),秦淮,2,50㎡,南,1997年建造,"['南', '满二年', '近地铁', '车位充足']",南京
带车位 急售 3室2厅 电梯房 采光好 周边商圈成熟,370,31766元/㎡,招商1872依云和府,栖霞,3,116.48㎡,南,2018年建造,"['南', '满二年', '次新房']",南京
南北通透 3室2厅 升龙天汇珑熙 精装修,520,53531元/㎡,升龙天汇珑熙,建邺,3,97.14㎡,南北,2000年建造,"['南北', '满二年', '近地铁']",南京
高楼门 科利华 双南一北全明户型 中楼层采光不挡 装修好诚售,408,59131元/㎡,高楼门46号小区,玄武,3,69㎡,南,2000年建造,"['南', '满五年', '近地铁', '车位充足']",南京
紫金南苑捡漏 两房 总价低 业主急卖,353,38408元/㎡,紫金南苑,玄武,2,91.91㎡,南北,2012年建造,"['南北', '近地铁']",南京
紫金南苑 精装两房 地铁沿线 带地暖 景观房 换房急售,395,42977元/㎡,紫金南苑,玄武,2,91.91㎡,南北,2008年建造,"['南北', '满五年', '近地铁']",南京
弘阳时光里 大开间全新精装两房双卫 小区人车分流 临近地铁口,135,21639元/㎡,弘阳时光里二期,浦口,2,62.39㎡,南北,2017年建造,"['南北', '满五年', '近地铁']",南京
精装修 满五 住房 2室1厅 月苑三村 65平 看房方便,185,28462元/㎡,月苑三村,玄武,2,65㎡,南北,2000年建造,"['南北', '满五年']",南京
浦外分校 87平 南北通透 精装修 朗诗未来街区(西区),168,19311元/㎡,朗诗未来街区(西区),浦口,3,87㎡,南北,2017年建造,"['南北', '满五年', '近地铁']",南京
江雁依山郡 满五 电梯房 精装修 南北通透 3室2厅 采光好,479,34256元/㎡,江雁依山郡,鼓楼,3,139.83㎡,南北,2015年建造,"['南北', '满五年', '近地铁']",南京
桥北天润城第十二街区165.00万元多层[17层]南北,165,18534元/㎡,天润城第十二街区,浦口,3,89.03㎡,南北,2012年建造,"['南北', '满五年', '近地铁', '多人关注']",南京
急售天润城第十街区82平136万 价格便宜 难找好房,136,16586元/㎡,天润城第十街区,浦口,2,82㎡,南北,2010年建造,"['南北', '满五年', '近地铁', '多人关注']",南京
房源采光好，南北通透，业主诚意出,409,44447元/㎡,保利堂悦,秦淮,3,92.02㎡,南,2018年建造,"['南', '满二年', '近地铁', '次新房']",南京
方兴 方兴精装自住 换房急售 看房议价 总价低南堡新寓,139,32110元/㎡,南堡新寓,鼓楼,2,43.29㎡,南北,1998年建造,"['南北', '热门小区', '近地铁', '房东急售']",南京
花语城 精装20万 通透小3房 满5年 全新未住 随时看房,115,12821元/㎡,荣盛花语城(一期),六合,3,89.7㎡,南北,2016年建造,"['南北', '满五年', '车位充足']",南京
融筑儒林花园 豪华装修 电梯房 南北通透 看房方便 有钥匙,460,37097元/㎡,融筑儒林花园,栖霞,3,124㎡,南北,2020年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
房东急售！白菜价！快来捡漏！,108,8538元/㎡,亚东同城逸境,溧水,3,126.5㎡,南北,2017年建造,"['南北', '满五年', '近地铁']",南京
竹山路 花园洋房 南北通透户型 中间楼层 客厅带大阳台哦,247,29280元/㎡,雍景园小区,江宁,2,84.36㎡,南北,2013年建造,"['南北', '满五年']",南京
扬子江隧道口 开发商精装华润国际社区 满二 采光好 配套好,307,34495元/㎡,华润国际社区,浦口,3,89㎡,南北,2016年建造,"['南北', '满二年', '车位充足']",南京
电梯房 94平 北门桥路3号小区 精装修 满五 房东急置换,288,30593元/㎡,北门桥路3号小区,玄武,2,94.14㎡,东北,1998年建造,"['东北', '满五年', '近地铁']",南京
新上湖景房 全新未入住 全方位采光 急售 随时看房,280,28866元/㎡,金地湖城艺境,栖霞,3,97㎡,南,2018年建造,"['南', '满二年', '近地铁', '次新房']",南京
力小29本部 宁海路 汉口西路 西康路3号 双南一北 精装,625,73904元/㎡,西康路3号小区,鼓楼,3,84.57㎡,南,1990年建造,"['南', '满五年', '近地铁']",南京
房源采光好，南北通透，业主诚意出,163,26022元/㎡,锁金三村,玄武,2,62.64㎡,西南,1984年建造,"['西南', '房东急售']",南京
房源采光好，南北通透，业主诚意出,320,30770元/㎡,天元城,江宁,3,104㎡,南,2007年建造,"['南', '满五年', '近地铁', '绿化率高']",南京
急售！房东降价15万 ！房源采光好，南北通透，业主诚意出售,199,23213元/㎡,紫杨佳园,秦淮,3,85.73㎡,南,2017年建造,"['南', '满二年']",南京
房源采光好，南北通透，业主诚意出,240,29272元/㎡,金粟庵小区,秦淮,3,81.99㎡,南,2000年建造,"['南', '满五年', '近地铁']",南京
颐和南园总高11层精装大三房，南北通透，业主诚意出售,419,31038元/㎡,颐和南园,江宁,3,135㎡,南,2015年建造,"['南', '满二年', '近地铁', '绿化率高']",南京
百家湖必看大3房 亚都天元居 电梯房 楼层采光好 看房有钥匙,308,27308元/㎡,亚都天元居,江宁,3,112.79㎡,南北,2009年建造,"['南北', '满二年', '近地铁']",南京
满五 南北通透 3室2厅 万达紫金明珠,355,28762元/㎡,万达紫金明珠,秦淮,3,123.43㎡,南北,2006年建造,"['南北', '满五年']",南京
竹山路地铁站 竹小竹中 精装三房 边户 好楼层 拎包入住,240,25672元/㎡,天泰花园,江宁,3,93.49㎡,南北,2000年建造,"['南北', '满二年', '近地铁']",南京
电梯房 满二 3室2厅 99平 朝南 中电颐和 A区 急售,330,33100元/㎡,中电颐和府邸A区,栖霞,3,99.7㎡,南,2018年建造,"['南', '满二年', '近地铁', '车位充足']",南京
南北通透 电梯房 鲁能公馆89平 诚心出售 价格可谈,430,49723元/㎡,鲁能公馆(建邺),建邺,3,86.48㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '绿化率高']",南京
中山陵脚下 铁匠营1号 三室 下马坊 都市山庄旁,209,33483元/㎡,铁匠营小区,玄武,3,62.42㎡,南北,1998年建造,"['南北', '近地铁']",南京
中央路 科利华 双南一北全明户型 采光好 居家装修 业主诚售,340,49854元/㎡,中央路298号小区,玄武,3,68.2㎡,南北,2000年建造,"['南北', '满二年', '近地铁']",南京
梅花山庄中沁苑低楼层，精装修，边户,368,39317元/㎡,梅花山庄,秦淮,2,93.6㎡,南,2000年建造,"['南', '满五年', '近地铁', '绿化率高']",南京
玄武湖畔 小市五塘地铁口 恒盛嘉园 精装暖气 满五年3房2厅,243,28589元/㎡,恒盛嘉园,鼓楼,3,85㎡,南北,2007年建造,"['南北', '满五年', '近地铁']",南京
精装修 南北通透 99平 3室2厅 楼层好 视野无遮挡,140,14071元/㎡,新桥家园,浦口,3,99.5㎡,南北,2014年建造,"['南北', '满二年', '近地铁', '多人关注']",南京
恒大绿洲精装大三房 无贷款无户 高楼层阳光好 产权清晰有钥匙,359,28047元/㎡,恒大绿洲,江宁,3,128㎡,南北,2012年建造,"['南北', '满二年', '近地铁', '绿化率高']",南京
急售 三房纯边户 中楼层 随时看房 价格好谈,235,26405元/㎡,清荷园北园,建邺,3,89㎡,南北,2013年建造,"['南北', '满二年', '近地铁']",南京
南师附小 东边户全明户型 采光佳 大石桥老虎桥 多套对比,368,48963元/㎡,进香河10-16号(双号),玄武,3,75.16㎡,南北,2000年建造,"['南北', '满五年', '近地铁']",南京
小区 一套，急降80万，50平阳光房，超大私人露台，带车位,310,29742元/㎡,新城香悦澜山,栖霞,3,104.23㎡,南北,2018年建造,"['南北', '满五年', '近地铁', '次新房']",南京
百利广场旁 青春街区 四开间朝南好户型,162,13729元/㎡,朗诗青春街区,江宁,4,118㎡,南,2019年建造,"['南', '满二年', '次新房']",南京
南北通透 3室1厅 都市山庄 精装修,277,36491元/㎡,都市山庄,玄武,3,75.91㎡,南北,2005年建造,"['南北', '满二年', '近地铁', '绿化率高']",南京
大树根小区 低总价3房 低楼层 双南一北 急售 有钥匙,399,66247元/㎡,大树根小区,玄武,3,60.23㎡,南北,1995年建造,"['南北', '满五年', '近地铁']",南京
滨江嘉园 拎包入住 环境优美,108,17705元/㎡,滨江嘉园,浦口,2,61㎡,南,2015年建造,"['南', '满二年', '近地铁']",南京
店长极力推荐 滨江嘉园 精装65平 随时看,107,16462元/㎡,滨江嘉园,浦口,2,65㎡,南北,2017年建造,"['南北', '满二年', '近地铁']",南京
房源采光好，南北通透，业主诚意出,190,18621元/㎡,世纪东山,江宁,2,102.04㎡,南,2012年建造,"['南', '热门小区', '配套成熟', '房东急售']",南京
鑫园小区96.12平359万2室2厅2卫,359,37350元/㎡,鑫园小区,秦淮,2,96.12㎡,南北,2003年建造,"['南北', '满五年']",南京
房源采光好，南北通透，业主诚意出,188,20216元/㎡,成山公寓,江宁,3,93㎡,南,2005年建造,"['南', '满五年', '近地铁']",南京
新上湖景房！240度视野无遮挡 豪装85万 懂的来,320,27587元/㎡,万达茂御湖仕家三期,栖霞,3,116㎡,南,2017年建造,"['南', '满五年', '近地铁', '多人关注']",南京
88平 满五 住房 电梯房 南北通透 房东急置换 诚意买房,208,23559元/㎡,中航樾公馆,江宁,3,88.29㎡,南北,2017年建造,"['南北', '满五年', '近地铁']",南京
急售 科利华 高楼门2房 可改3房 双南 超高性价比,300,41650元/㎡,高楼门20-1号小区,玄武,2,72.03㎡,南北,1990年建造,"['南北', '满五年', '近地铁', '车位充足']",南京
新模范马路地铁口 一楼带院子 婚装未住 南北通透 看房有钥匙,238,41755元/㎡,工人新村(鼓楼区),鼓楼,2,57㎡,南北,1990年建造,"['南北', '满五年', '近地铁']",南京
182万精装二房丨旭日上城三期丨中高楼层丨业主急售,182,20920元/㎡,弘阳旭日上城三区,浦口,2,87㎡,南,2016年建造,"['南', '满二年', '近地铁', '绿化率高']",南京
急售 高新地铁口 新城花漾紫郡 全新精装大三房 浦外旁,192,20147元/㎡,新城花漾紫郡,浦口,3,95.3㎡,南北,2015年建造,"['南北', '满二年', '近地铁']",南京
江南明珠！南部新城！中间楼层带露台！产权车位！三室两卫！,356,33918元/㎡,万达江南明珠,秦淮,3,104.96㎡,南北,2008年建造,"['南北', '满五年', '绿化率高']",南京
急直降40万迈皋桥晓庄1号线 金浦御龙湾双阳台南北通透29中,357,30990元/㎡,金浦御龙湾H区,栖霞,3,115.2㎡,南,2017年建造,"['南', '满五年', '多人关注']",南京
精装修 3室2厅 金地自在城(六期) 满五 看房方便 有钥匙,208,19173元/㎡,金地自在城(六期),雨花台,3,108.49㎡,南北,2016年建造,"['南北', '满五年', '车位充足']",南京
69平 满五 住房 2室1厅 电梯房 南北通透 馨合家园,135,19580元/㎡,馨合家园,栖霞,2,68.95㎡,南北,2017年建造,"['热门小区', '近地铁', '南北通透']",南京
急售 万寿双地铁口 东方兰园 绿城物业 采光好 招商花园城,278,32822元/㎡,绿城东方兰园,栖霞,2,84.7㎡,南北,2000年建造,"['南北', '有电梯']",南京
81平 岗子村地铁 满五 锁金村4号小区 楼层好 视野无遮挡,270,33150元/㎡,锁金村4号小区,玄武,3,81.45㎡,南,1988年建造,"['南', '满五年', '近地铁']",南京
银城旭辉上淮铂悦府 带露台 随时看房 上秦淮板块 低密度小区,760,44706元/㎡,银城旭辉上淮铂悦府,江宁,5,170㎡,南北,2019年建造,"['南北', '热门小区', '配套成熟', '房东急售']",南京
双地铁 有钥匙 精装修带地暖 诚心卖 配套成熟交通便利,278,31591元/㎡,中铁青秀城,栖霞,2,88㎡,南,2019年建造,"['南', '满二年', '次新房']",南京
西华龙樾 毛坯3室2厅2卫 次顶楼 三开间朝南 满2,285,32387元/㎡,西华龙樾,浦口,3,88㎡,南北,2020年建造,"['南北', '满二年', '近地铁', '次新房']",南京
房源采光好，南北通透，业主诚意出,235,26405元/㎡,祥和雅苑(东区),栖霞,3,89㎡,南,2012年建造,"['南', '有电梯']",南京
急售 佳邻美居 三室二厅 南北通透 精装 设施,220,24192元/㎡,赞成佳邻美居,栖霞,3,90.94㎡,南北,2010年建造,"['南北', '满五年']",南京
廖家巷社区 3室1厅 南北通透 满五 住房 62平 简单装,350,55866元/㎡,廖家巷社区,玄武,3,62.65㎡,南北,1989年建造,"['南北', '满五年', '近地铁']",南京
房源采光好，南北通透，业主诚意出,573,57215元/㎡,恒盛金陵湾,鼓楼,2,100.15㎡,南,2015年建造,"['南', '满五年']",南京
正南 2室1厅 五十五所西华门宿舍区 精装修,330,40496元/㎡,五十五所西华门宿舍区,秦淮,2,81.49㎡,南,2004年建造,"['南', '满五年', '近地铁']",南京
88平 电梯房 朝南 3室1厅 诚心出售 价格可议,118,13410元/㎡,麒麟紫荆城锁石苑,江宁,3,88㎡,南,2018年建造,"['南', '满二年', '次新房']",南京
电梯房 3室2厅 朝南 莱蒙水榭阳光 满五 112平 有钥匙,320,28572元/㎡,莱蒙水榭阳光,雨花台,3,112㎡,南,2014年建造,"['南', '满五年', '车位充足']",南京
房源采光好 南北通透 业主诚意出,340,31717元/㎡,玉带园小区,秦淮,3,107.2㎡,南,1992年建造,"['南', '满五年', '近地铁']",南京
燕子矶1号万寿站地铁6号7号证 招商花园城 华润万象天地,379,34405元/㎡,弘阳燕江府,栖霞,3,110.16㎡,南北,2019年建造,"['南北', '满二年', '次新房']",南京
河西奥东板块地铁口莲花南苑大三房性价比超高采光好南北通透,195,21839元/㎡,莲花新城南苑,建邺,3,89.29㎡,南,2013年建造,"['南', '满二年', '近地铁']",南京
好房推荐 正荣润峯 精装三房 品质楼盘 诚心低价卖 看房方便,570,57304元/㎡,正荣润峯,建邺,3,99.47㎡,南北,2018年建造,"['热门小区', '南北通透', '房东急售']",南京
有钥匙 五塘小市 金域中央 精装三房 好楼层 满五年 地铁口,395,35910元/㎡,金域中央街区1,鼓楼,3,110㎡,南北,2010年建造,"['南北', '满五年', '近地铁']",南京
拒绝虚 ，精致装修，居住舒适，采光良好，微风习习,175,20115元/㎡,恒永西苑,雨花台,3,87㎡,南北,2015年建造,"['南北', '人气热搜']",南京
73平 旭光里小区 简单装修 满五 看房方便 有钥匙,220,30026元/㎡,旭光里小区,秦淮,3,73.27㎡,南,1990年建造,"['南', '满五年', '近地铁']",南京
中医药房改房，得房率高，有车位，精装修，双南一北,460,47141元/㎡,杏聚村,鼓楼,3,97.58㎡,南北,2000年建造,"['南北', '满五年', '近地铁']",南京
莲花北苑地铁口，豪华装修三房，中间楼层，采光刺眼,208,23637元/㎡,莲花新城北苑,建邺,3,88㎡,南,2018年建造,"['南', '满五年', '近地铁', '次新房']",南京
五矿晏山居 花园洋房一楼前后院子 带地暖 中央空调 采光足,570,67793元/㎡,五矿晏山居,玄武,3,84.08㎡,南北,2016年建造,"['南北', '满五年', '近地铁']",南京
新街口省中医院市妇幼旁 天妃巷 二楼 三房 精装 采光好,218.9,35304元/㎡,天妃巷小区,秦淮,3,62㎡,南北,1990年建造,"['南北', '满五年', '近地铁', '多人关注']",南京
满五 住房 南北通透 悦恒君铂国际 2室1厅 看房方便 有,255,31079元/㎡,悦恒君铂国际,江宁,2,82.05㎡,南北,2012年建造,"['南北', '满二年', '近地铁']",南京
南北通透 3室2厅 电梯房 精装修 100平 满二 房东急置,335,33417元/㎡,中海燕矶听潮C区,栖霞,3,100.25㎡,南北,2019年建造,"['南北', '满二年', '车位充足']",南京
新上好房，左邻右里二室二厅，秦淮河边，一线江景房,239,27380元/㎡,左邻右里,江宁,2,87.29㎡,南,2004年建造,"['南', '满五年', '近地铁']",南京
威尼斯19街区 精装大三房 南北通透 中上楼层 次新小区,200,18027元/㎡,威尼斯水城第十九街区,浦口,3,110.95㎡,南北,2020年建造,"['南北', '满二年', '次新房', '多人关注']",南京
带电梯 多层洋房 新空毛坯 边户全明 满5年 有钥匙 价可谈,305,26785元/㎡,翠屏国际城广场苑,江宁,3,113.87㎡,南北,2012年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
中楼层 来凤 仙鹤 好出租 太平苑 业主好说话,143,27914元/㎡,太平雅苑,秦淮,2,51.23㎡,南,1997年建造,"['南', '热门小区', '配套成熟', '价格优惠']",南京
南京南站 四条地铁环绕 去哪儿都方便 来电有优惠,50,12500元/㎡,绿地之窗,雨花台,2,40㎡,南北,2019年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
莱蒙水榭阳光 楼栋楼层好 精装自住 满五 诚售,258,28989元/㎡,莱蒙水榭阳光,雨花台,3,89㎡,南,2016年建造,"['南', '满五年', '车位充足']",南京
万达西地好房必卖 空调有暖气 万达西地 暖色系温馨大两房,360,41012元/㎡,万达西地,建邺,2,87.78㎡,南北,2000年建造,"['南北', '满二年', '近地铁']",南京
南北通透 94平 满五 电梯房 精装修 看房方便 有钥匙,165,17529元/㎡,浦泰和天下(三期),浦口,3,94.13㎡,南北,2016年建造,"['南北', '满五年', '近地铁', '车位充足']",南京
雄州房主狂甩高品质好房精装修132万元多层127平,132,10338元/㎡,德邑花园,六合,3,127.69㎡,南北,2012年建造,"['热门小区', '南北通透', '配套成熟']",南京
燕子矶新城次新房地铁口中央空调带地暖 30平大露台,290,32955元/㎡,海赋尚城一期,栖霞,3,88㎡,南,2017年建造,"['南', '满二年']",南京
南邮广场 诚品城 200多万买三房 家门口 边户,214,23386元/㎡,学仕风华苑,栖霞,3,91.51㎡,南北,2008年建造,"['南北', '满二年', '次新房']",南京
急售 科利华 一楼带院子 台城花园 百子亭后 双南精装 拎包,338,49706元/㎡,峨嵋路小区,玄武,2,68㎡,南北,1992年建造,"['南北', '满五年', '近地铁']",南京
业主房子已买！降价30万急售！采光视野不挡 保养好 看房随时,420,50603元/㎡,五矿崇文金城,建邺,2,83㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '次新房']",南京
真实在售 汉中门大街凤凰三村 双南全明户型 紧靠地铁超市配套,255,37550元/㎡,凤凰三村,鼓楼,3,67.91㎡,南北,1994年建造,"['南北', '满五年', '近地铁', '车位充足']",南京
急售，恒安嘉园149.00平355万3室2厅2卫，出行方便，,348,23356元/㎡,恒安嘉园,江宁,3,149㎡,南北,2008年建造,"['南北', '满五年', '近地铁']",南京
房源采光好，南北通透，业主诚意出,220,24720元/㎡,莲花新城嘉园,建邺,3,89㎡,南,2013年建造,"['南', '满二年', '近地铁']",南京
房东挂价八十一万卖 系统限制价格不让发 两卫户型,95,10568元/㎡,馨怡嘉园,溧水,2,89.9㎡,南北,2015年建造,"['南北', '近地铁', '配套成熟', '价格优惠']",南京
南北通透 2室1厅 东井村3号小区,150,26256元/㎡,东井村3号小区,鼓楼,2,57.13㎡,南北,2000年建造,"['南北', '有电梯', '近地铁']",南京
北京城建西华龙樾复式精装三房50万 南北通透 全明诚售 急急,355,35500元/㎡,西华龙樾,浦口,3,100㎡,南北,2020年建造,"['南北', '满二年', '近地铁', '次新房']",南京
4.8米挑高公寓！现房！民用水电！可精装可毛坯！文鼎广场旁,52,13000元/㎡,中粮悦天地公寓,江宁,2,40㎡,南北,2020年建造,"['南北', '满二年', '近地铁', '次新房']",南京
房源采光好，南北通透，业主诚意出,180,22500元/㎡,幕府山庄,栖霞,3,80㎡,南北,2000年建造,"['南北', '满五年']",南京
房源娃 二十九中不后悔采光好，南北通透，业主诚意出,440,68622元/㎡,清凉山庄,鼓楼,3,64.12㎡,南北,1992年建造,"['南北', '满五年', '近地铁']",南京
有钥匙 南北三房 户型方正 铁心桥翠岭银河 位置好 降价急售,200,22472元/㎡,翠岭银河,雨花台,3,89㎡,南,2009年建造,"['南', '满五年', '近地铁', '绿化率高']",南京
管家式服务 万科璞悦山精装三房一楼带前后院子 看房方便,260,31097元/㎡,万科璞悦山,浦口,3,83.61㎡,南北,2018年建造,"['南北', '满二年', '次新房']",南京
房源采光好，南北通透，业主诚意出,245,26221元/㎡,大华锦绣华城香榭美颂,浦口,2,93.44㎡,南,2012年建造,"['南', '满五年', '绿化率高']",南京
急卖 急卖降价26万 恒温恒湿 高科技房 交通方便 双地铁,428,36473元/㎡,保利朗诗蔚蓝,栖霞,3,117.35㎡,南北,2020年建造,"['南北', '满二年', '近地铁', '次新房']",南京
弓箭坊高层住宅小区68.04平220万2室1厅1卫,220,32334元/㎡,弓箭坊高层住宅小区,秦淮,2,68.04㎡,北,1999年建造,"['北', '满五年', '近地铁']",南京
急售 燕子矶万寿双地铁口 青秀城 次新房 招商花园城旁 急售,303,34421元/㎡,中铁青秀城,栖霞,3,88.03㎡,南北,2000年建造,"['南北', '有电梯']",南京
